Metodo,Ruta,OperationId,Tags,TieneSecurity,Security,Summary
GET,/nacha-security/certificates/management/audit,,CertificateManagement,Sí,[{'Bearer': []}],Auditoría de cargas de certificados
GET,/clearing-house-cycle-configs,,ClearingHouseCycleConfigs,Sí,[{'Bearer': []}],Consulta de ciclos y lotes ACH: consulta get by clearing house dentro de ciclos y lotes ACH para la ruta /clearing-house-cycle-configs
POST,/clearing-house-cycle-configs,,ClearingHouseCycleConfigs,Sí,[{'Bearer': []}],Registro de ciclos y lotes ACH: registra una solicitud de create version dentro de ciclos y lotes ACH para la ruta /clearing-house-cycle-configs
GET,/clearing-house-cycle-configs/current,,ClearingHouseCycleConfigs,Sí,[{'Bearer': []}],Consulta de ciclos y lotes ACH: consulta get current by clearing house dentro de ciclos y lotes ACH para la ruta /clearing-house-cycle-configs/current
POST,/clearing-house-cycle-configs/{id}/inactivate,,ClearingHouseCycleConfigs,Sí,[{'Bearer': []}],Registro de ciclos y lotes ACH: registra una solicitud de inactivate dentro de ciclos y lotes ACH para la ruta /clearing-house-cycle-configs/{id}/inactivate
GET,/clearing-houses,,ClearingHouses,Sí,[{'Bearer': []}],Consulta de clearing houses: consulta get dentro de clearing houses para la ruta /clearing-houses
GET,/clearing-houses/{id},,ClearingHouses,Sí,[{'Bearer': []}],Consulta de clearing houses: consulta get by id dentro de clearing houses para la ruta /clearing-houses/{id}
GET,/clearing-houses/{id}/cycles,,ClearingHouses,Sí,[{'Bearer': []}],Consulta de ciclos y lotes ACH: consulta get cycles for clearing house dentro de ciclos y lotes ACH para la ruta /clearing-houses/{id}/cycles
GET,/clearing-house-special-dates,,ClearingHouseSpecialDates,Sí,[{'Bearer': []}],Consulta de clearing house special dates: consulta get all dentro de clearing house special dates para la ruta /clearing-house-special-dates
POST,/clearing-house-special-dates,,ClearingHouseSpecialDates,Sí,[{'Bearer': []}],Registro de clearing house special dates: registra una solicitud de create dentro de clearing house special dates para la ruta /clearing-house-special-dates
PUT,/clearing-house-special-dates/{id},,ClearingHouseSpecialDates,Sí,[{'Bearer': []}],Actualización de clearing house special dates: actualiza información de update dentro de clearing house special dates para la ruta /clearing-house-special-dates/{id}
DELETE,/clearing-house-special-dates/{id},,ClearingHouseSpecialDates,Sí,[{'Bearer': []}],Eliminación de clearing house special dates: elimina recursos asociados a delete dentro de clearing house special dates para la ruta /clearing-house-special-dates/{id}
GET,/company-entry-descriptions,,CompanyEntryDescriptions,Sí,[{'Bearer': []}],Consulta de company entry descriptions: consulta get all dentro de company entry descriptions para la ruta /company-entry-descriptions
POST,/company-entry-descriptions,,CompanyEntryDescriptions,Sí,[{'Bearer': []}],Registro de company entry descriptions: registra una solicitud de create dentro de company entry descriptions para la ruta /company-entry-descriptions
PUT,/company-entry-descriptions/{id},,CompanyEntryDescriptions,Sí,[{'Bearer': []}],Actualización de company entry descriptions: actualiza información de update dentro de company entry descriptions para la ruta /company-entry-descriptions/{id}
DELETE,/company-entry-descriptions/{id},,CompanyEntryDescriptions,Sí,[{'Bearer': []}],Eliminación de company entry descriptions: elimina recursos asociados a delete dentro de company entry descriptions para la ruta /company-entry-descriptions/{id}
GET,/customers,,Customers,Sí,[{'Bearer': []}],Obtiene el listado de clientes registrados.
POST,/customers,,Customers,Sí,[{'Bearer': []}],Registra un nuevo cliente.
GET,/customers/{id},,Customers,Sí,[{'Bearer': []}],Obtiene el detalle de un cliente por identificador.
PUT,/customers/{id},,Customers,Sí,[{'Bearer': []}],Actualiza la información de un cliente existente.
DELETE,/customers/{id},,Customers,Sí,[{'Bearer': []}],Elimina un cliente por identificador.
GET,/api/customer-third-parties,,CustomerThirdParties,Sí,[{'Bearer': []}],Consulta de customer third parties: consulta get dentro de customer third parties para la ruta /api/customer-third-parties
PATCH,/api/customer-third-parties/{id}/status,,CustomerThirdParties,Sí,[{'Bearer': []}],Ajuste de customer third parties: aplica ajuste parcial de update status dentro de customer third parties para la ruta /api/customer-third-parties/{id}/status
GET,/nacha-security/certificates,,DigitalEnvelopeCertificates,Sí,[{'Bearer': []}],Inventario de certificados de sobre digital
POST,/nacha-security/certificates,,DigitalEnvelopeCertificates,Sí,[{'Bearer': []}],Cargar o actualizar certificado de sobre digital
DELETE,/nacha-security/certificates/{id},,DigitalEnvelopeCertificates,Sí,[{'Bearer': []}],Eliminar certificado de sobre digital
GET,/financial-institutions,,FinancialInstitutions,Sí,[{'Bearer': []}],Consulta de financial institutions: consulta get all dentro de financial institutions para la ruta /financial-institutions
POST,/financial-institutions,,FinancialInstitutions,Sí,[{'Bearer': []}],Registro de financial institutions: registra una solicitud de create dentro de financial institutions para la ruta /financial-institutions
GET,/financial-institutions/{id},,FinancialInstitutions,Sí,[{'Bearer': []}],Consulta de financial institutions: consulta get by id dentro de financial institutions para la ruta /financial-institutions/{id}
PUT,/financial-institutions/{id},,FinancialInstitutions,Sí,[{'Bearer': []}],Actualización de financial institutions: actualiza información de update dentro de financial institutions para la ruta /financial-institutions/{id}
PATCH,/financial-institutions/{id}/status,,FinancialInstitutions,Sí,[{'Bearer': []}],Ajuste de financial institutions: aplica ajuste parcial de set status dentro de financial institutions para la ruta /financial-institutions/{id}/status
GET,/incoming-nacha-command-center/observability/summary,,IncomingNachaCommandCenter,Sí,[{'Bearer': []}],Panel consolidado de observabilidad de inbound NACHA-M
GET,/incoming-nacha-command-center/ingestions,,IncomingNachaCommandCenter,Sí,[{'Bearer': []}],Consulta paginada de ingestas inbound NACHA-M
GET,/incoming-nacha-command-center/ingestions/{ingestionId},,IncomingNachaCommandCenter,Sí,[{'Bearer': []}],Detalle técnico y operativo de una ingesta inbound
GET,/incoming-nacha-command-center/queue,,IncomingNachaCommandCenter,Sí,[{'Bearer': []}],Vista operativa de dispatch queue inbound NACHA-M
GET,/incoming-nacha-command-center/queue/{queueId},,IncomingNachaCommandCenter,Sí,[{'Bearer': []}],Detalle de item de dispatch queue con acciones permitidas
POST,/incoming-nacha-command-center/queue/{queueId}/retry,,IncomingNachaCommandCenter,Sí,[{'Bearer': []}],Acción manual de retry sobre item de dispatch queue
POST,/incoming-nacha-command-center/queue/{queueId}/unblock,,IncomingNachaCommandCenter,Sí,[{'Bearer': []}],Acción manual de unblock sobre item bloqueado
POST,/incoming-nacha-command-center/queue/{queueId}/requeue,,IncomingNachaCommandCenter,Sí,[{'Bearer': []}],Acción manual de requeue para reproceso controlado
POST,/incoming-nacha-command-center/queue/{queueId}/mark-failed-final,,IncomingNachaCommandCenter,Sí,[{'Bearer': []}],Acción manual mark-failed-final para cierre operativo
GET,/institution-clearing-house-preferences,,InstitutionClearingHousePreferences,Sí,[{'Bearer': []}],Consulta de institution clearing house preferences: consulta get all dentro de institution clearing house preferences para la ruta /institution-clearing-house-preferences
POST,/institution-clearing-house-preferences,,InstitutionClearingHousePreferences,Sí,[{'Bearer': []}],Registro de institution clearing house preferences: registra una solicitud de create dentro de institution clearing house preferences para la ruta /institution-clearing-house-preferences
PUT,/institution-clearing-house-preferences/{id},,InstitutionClearingHousePreferences,Sí,[{'Bearer': []}],Actualización de institution clearing house preferences: actualiza información de update dentro de institution clearing house preferences para la ruta /institution-clearing-house-preferences/{id}
DELETE,/institution-clearing-house-preferences/{id},,InstitutionClearingHousePreferences,Sí,[{'Bearer': []}],Eliminación de institution clearing house preferences: elimina recursos asociados a delete dentro de institution clearing house preferences para la ruta /institution-clearing-house-preferences/{id}
GET,/api/integrations/methods,,IntegrationCatalog,Sí,[{'Bearer': []}],Consulta de integration catalog: consulta get methods dentro de integration catalog para la ruta /api/integrations/methods
GET,/api/integrations/methods/{methodId}/parameters,,IntegrationCatalog,Sí,[{'Bearer': []}],Consulta de integration catalog: consulta get parameters by method dentro de integration catalog para la ruta /api/integrations/methods/{methodId}/parameters
GET,/api/integrations/source-catalog,,IntegrationCatalog,Sí,[{'Bearer': []}],Consulta de integration catalog: consulta get source catalog dentro de integration catalog para la ruta /api/integrations/source-catalog
GET,/api/integrations/transformations,,IntegrationCatalog,Sí,[{'Bearer': []}],Consulta de integration catalog: consulta get transformations dentro de integration catalog para la ruta /api/integrations/transformations
GET,/api/integrations/mappingsets,,IntegrationMappingSets,Sí,[{'Bearer': []}],Consulta de integration mapping sets: consulta get dentro de integration mapping sets para la ruta /api/integrations/mappingsets
POST,/api/integrations/mappingsets,,IntegrationMappingSets,Sí,[{'Bearer': []}],Registro de integration mapping sets: registra una solicitud de create dentro de integration mapping sets para la ruta /api/integrations/mappingsets
GET,/api/integrations/mappingsets/published,,IntegrationMappingSets,Sí,[{'Bearer': []}],Consulta de integration mapping sets: consulta get published dentro de integration mapping sets para la ruta /api/integrations/mappingsets/published
GET,/api/integrations/mappingsets/{id},,IntegrationMappingSets,Sí,[{'Bearer': []}],Consulta de integration mapping sets: consulta get by id dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}
PUT,/api/integrations/mappingsets/{id},,IntegrationMappingSets,Sí,[{'Bearer': []}],Actualización de integration mapping sets: actualiza información de update dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}
PUT,/api/integrations/mappingsets/{id}/rules,,IntegrationMappingSets,Sí,[{'Bearer': []}],Actualización de integration mapping sets: actualiza información de upsert rules dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}/rules
POST,/api/integrations/mappingsets/{id}/validate,,IntegrationMappingSets,Sí,[{'Bearer': []}],Registro de integration mapping sets: registra una solicitud de validate dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}/validate
POST,/api/integrations/mappingsets/{id}/preview,,IntegrationMappingSets,Sí,[{'Bearer': []}],Registro de integration mapping sets: registra una solicitud de preview dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}/preview
POST,/api/integrations/mappingsets/{id}/publish,,IntegrationMappingSets,Sí,[{'Bearer': []}],Registro de integration mapping sets: registra una solicitud de publish dentro de integration mapping sets para la ruta /api/integrations/mappingsets/{id}/publish
