Metodo,Ruta,OperationId,Tags,TieneSecurity,Security,Summary
GET,/api/regulatory-catalogs/return-policies,,RegulatoryCatalogs,Sí,[{'Bearer': []}],Consulta de regulatory catalogs: consulta get return policies dentro de regulatory catalogs para la ruta /api/regulatory-catalogs/return-policies
GET,/api/regulatory-catalogs/return-of-return-policies,,RegulatoryCatalogs,Sí,[{'Bearer': []}],Consulta de regulatory catalogs: consulta get return of return policies dentro de regulatory catalogs para la ruta /api/regulatory-catalogs/return-of-return-policies
GET,/api/regulatory-catalogs/prenotification-policies,,RegulatoryCatalogs,Sí,[{'Bearer': []}],Consulta de regulatory catalogs: consulta get prenotification policies dentro de regulatory catalogs para la ruta /api/regulatory-catalogs/prenotification-policies
GET,/api/reports/transactions/sent,,Reports,Sí,[{'Bearer': []}],Reporte de transacciones enviadas
GET,/api/reports/transactions/received,,Reports,Sí,[{'Bearer': []}],Reporte de transacciones recibidas
GET,/api/reports/transactions/sent/pdf,,Reports,Sí,[{'Bearer': []}],PDF de transacciones enviadas
GET,/api/reports/transactions/received/pdf,,Reports,Sí,[{'Bearer': []}],PDF de transacciones recibidas
GET,/api/reports/returns,,Reports,Sí,[{'Bearer': []}],Reporte de devoluciones
GET,/api/reports/rejections,,Reports,Sí,[{'Bearer': []}],Reporte de rechazos de archivo
GET,/api/reports/returns/pdf,,Reports,Sí,[{'Bearer': []}],Consulta de reportería ACH: consulta get returns pdf dentro de reportería ACH para la ruta /api/reports/returns/pdf
GET,/api/reports/rejections/pdf,,Reports,Sí,[{'Bearer': []}],Consulta de reportería ACH: consulta get rejections pdf dentro de reportería ACH para la ruta /api/reports/rejections/pdf
GET,/api/reports/nacha-files,,Reports,Sí,[{'Bearer': []}],Reporte de archivos NACHA
GET,/api/reports/nacha-files/pdf,,Reports,Sí,[{'Bearer': []}],PDF de archivos NACHA
GET,/api/reports/cycles,,Reports,Sí,[{'Bearer': []}],Reporte de ciclos ACH
GET,/api/reports/cycles/pdf,,Reports,Sí,[{'Bearer': []}],Consulta de reportería ACH: consulta get cycles pdf dentro de reportería ACH para la ruta /api/reports/cycles/pdf
GET,/api/reports/reconciliation,,Reports,Sí,[{'Bearer': []}],Reporte de conciliación
GET,/api/reports/reconciliation/pdf,,Reports,Sí,[{'Bearer': []}],Consulta de reportería ACH: consulta get reconciliation pdf dentro de reportería ACH para la ruta /api/reports/reconciliation/pdf
GET,/api/reports/audit,,Reports,Sí,[{'Bearer': []}],Reporte de auditoría ACH
GET,/api/reports/audit/pdf,,Reports,Sí,[{'Bearer': []}],Consulta de reportería ACH: consulta get audit pdf dentro de reportería ACH para la ruta /api/reports/audit/pdf
GET,/api/reports/history,,Reports,Sí,[{'Bearer': []}],Histórico de transacciones ACH
GET,/api/reports/history/pdf,,Reports,Sí,[{'Bearer': []}],Consulta de reportería ACH: consulta get history pdf dentro de reportería ACH para la ruta /api/reports/history/pdf
GET,/api/reports/traceability/pdf,,Reports,Sí,[{'Bearer': []}],PDF de trazabilidad ACH
GET,/return-reasons,,ReturnReasons,Sí,[{'Bearer': []}],Consulta de return reasons: consulta get all dentro de return reasons para la ruta /return-reasons
GET,/api/Roles,,Roles,Sí,[{'Bearer': []}],Consulta de roles: consulta get roles dentro de roles para la ruta /api/Roles
GET,/api/users/soap-integrations,,SoapIntegrationSettings,Sí,[{'Bearer': []}],Consulta de soap integration settings: consulta get dentro de soap integration settings para la ruta /api/users/soap-integrations
PUT,/api/users/soap-integrations,,SoapIntegrationSettings,Sí,[{'Bearer': []}],Actualización de soap integration settings: actualiza información de save dentro de soap integration settings para la ruta /api/users/soap-integrations
POST,/SobreDigital/encrypt,,SobreDigital,Sí,[{'Bearer': []}],Registro de sobre digital: registra una solicitud de encrypt dentro de sobre digital para la ruta /SobreDigital/encrypt
POST,/SobreDigital/decrypt,,SobreDigital,Sí,[{'Bearer': []}],Registro de sobre digital: registra una solicitud de decrypt dentro de sobre digital para la ruta /SobreDigital/decrypt
POST,/SobreDigital/testRSA,,SobreDigital,Sí,[{'Bearer': []}],Registro de sobre digital: registra una solicitud de test r s a dentro de sobre digital para la ruta /SobreDigital/testRSA
GET,/TaskDefinitions,,TaskDefinitions,Sí,[{'Bearer': []}],Consulta de task definitions: consulta get dentro de task definitions para la ruta /TaskDefinitions
POST,/TaskDefinitions,,TaskDefinitions,Sí,[{'Bearer': []}],Registro de task definitions: registra una solicitud de post dentro de task definitions para la ruta /TaskDefinitions
GET,/TaskDefinitions/{id},,TaskDefinitions,Sí,[{'Bearer': []}],Consulta de task definitions: consulta get dentro de task definitions para la ruta /TaskDefinitions/{id}
PUT,/TaskDefinitions/{id},,TaskDefinitions,Sí,[{'Bearer': []}],Actualización de task definitions: actualiza información de put dentro de task definitions para la ruta /TaskDefinitions/{id}
DELETE,/TaskDefinitions/{id},,TaskDefinitions,Sí,[{'Bearer': []}],Eliminación de task definitions: elimina recursos asociados a delete dentro de task definitions para la ruta /TaskDefinitions/{id}
GET,/Transactions,,Transactions,Sí,[{'Bearer': []}],Listado operativo de transacciones ACH con filtros de ciclo y cámara
POST,/Transactions,,Transactions,Sí,[{'Bearer': []}],Registro operativo de transacción ACH individual
GET,/Transactions/company-entry-descriptions,,Transactions,Sí,[{'Bearer': []}],Catálogo de Company Entry Descriptions para originación ACH
GET,/Transactions/policies/preview,,Transactions,Sí,[{'Bearer': []}],Prevalidación de políticas ACH antes de registrar transacción
POST,/Transactions/bulk/submit,,Transactions,Sí,[{'Bearer': []}],Submit bulk legacy de ingestión transaccional
POST,/Transactions/bulk,,Transactions,Sí,[{'Bearer': []}],Registro masivo legacy de transacciones en línea
GET,/Transactions/{id},,Transactions,Sí,[{'Bearer': []}],Consulta puntual de transacción ACH por identificador
GET,/api/Users,,Users,Sí,[{'Bearer': []}],Consulta de users: consulta get users dentro de users para la ruta /api/Users
POST,/api/Users,,Users,Sí,[{'Bearer': []}],Registro de users: registra una solicitud de create user dentro de users para la ruta /api/Users
GET,/api/Users/validate-email-domain,,Users,Sí,[{'Bearer': []}],Consulta de users: consulta validate email domain dentro de users para la ruta /api/Users/validate-email-domain
GET,/api/Users/{id},,Users,Sí,[{'Bearer': []}],Consulta de users: consulta get user dentro de users para la ruta /api/Users/{id}
PUT,/api/Users/{id},,Users,Sí,[{'Bearer': []}],Actualización de users: actualiza información de update user dentro de users para la ruta /api/Users/{id}
DELETE,/api/Users/{id},,Users,Sí,[{'Bearer': []}],Eliminación de users: elimina recursos asociados a deactivate user dentro de users para la ruta /api/Users/{id}
POST,/api/Users/{id}/roles,,Users,Sí,[{'Bearer': []}],Registro de users: registra una solicitud de assign roles dentro de users para la ruta /api/Users/{id}/roles
